,ID,category,Frequency,Horizon,SP,StartingDate,ID
99673,H1,Other,24,48,Hourly,01-07-15 12:00,H1
99742,H2,Other,24,48,Hourly,23-04-14 12:00,H2
99789,H3,Other,24,48,Hourly,22-05-10 12:00,H3
99790,H4,Other,24,48,Hourly,02-05-10 12:00,H4
99890,H5,Other,24,48,Hourly,09-04-10 12:00,H5
99913,H6,Other,24,48,Hourly,09-05-10 12:00,H6
99921,H7,Other,24,48,Hourly,15-03-17 12:00,H7
99942,H8,Other,24,48,Hourly,01-01-17 12:00,H8
99950,H9,Other,24,48,Hourly,01-05-17 12:00,H9
99986,H10,Other,24,48,Hourly,01-01-17 12:00,H10
95032,W1,Macro,1,13,Weekly,15-02-86 12:00,W1
95136,W2,Finance,1,13,Weekly,01-07-09 12:00,W2
95142,W3,Finance,1,13,Weekly,28-06-00 12:00,W3
95189,W4,Finance,1,13,Weekly,03-01-01 12:00,W4
95198,W5,Finance,1,13,Weekly,03-01-01 12:00,W5
95200,W6,Finance,1,13,Weekly,03-01-01 12:00,W6
95228,W7,Demographic,1,13,Weekly,04-01-86 12:00,W7
95257,W8,Micro,1,13,Weekly,18-12-02 12:00,W8
95258,W9,Micro,1,13,Weekly,18-12-02 12:00,W9
95318,W10,Micro,1,13,Weekly,01-01-16 12:00,W10
48787,M1,Macro,12,18,Monthly,01-01-90 12:00,M1
48879,M2,Macro,12,18,Monthly,01-01-90 12:00,M2
51008,M3,Macro,12,18,Monthly,31-01-85 12:00,M3
65085,M4,Micro,12,18,Monthly,31-01-10 12:00,M4
65374,M5,Micro,12,18,Monthly,31-01-10 12:00,M5
76174,M6,Industry,12,18,Monthly,01-01-90 12:00,M6
84796,M7,Finance,12,18,Monthly,01-01-94 12:00,M7
85713,M8,Finance,12,18,Monthly,31-01-90 12:00,M8
91825,M9,Finance,12,18,Monthly,31-10-10 12:00,M9
93231,M10,Finance,12,18,Monthly,31-05-96 12:00,M10
25323,Q1,Macro,4,8,Quarterly,30-06-94 12:00,Q1
25331,Q2,Macro,4,8,Quarterly,31-08-83 12:00,Q2
25877,Q3,Macro,4,8,Quarterly,30-09-85 12:00,Q3
26446,Q4,Macro,4,8,Quarterly,30-09-01 12:00,Q4
26882,Q5,Macro,4,8,Quarterly,30-09-83 12:00,Q5
29754,Q6,Micro,4,8,Quarterly,01-01-05 12:00,Q6
33235,Q7,Micro,4,8,Quarterly,01-01-02 12:00,Q7
34981,Q8,Demographic,4,8,Quarterly,30-09-84 12:00,Q8
35217,Q9,Demographic,4,8,Quarterly,31-08-86 12:00,Q9
43900,Q10,Finance,4,8,Quarterly,30-09-01 12:00,Q10
9083,Y1,Micro,1,6,Yearly,31-12-75 12:00,Y1
9756,Y2,Micro,1,6,Yearly,31-12-95 12:00,Y2
11409,Y3,Demographic,1,6,Yearly,31-12-90 12:00,Y3
11531,Y4,Industry,1,6,Yearly,01-01-87 12:00,Y4
12318,Y5,Industry,1,6,Yearly,30-06-86 12:00,Y5
14369,Y6,Industry,1,6,Yearly,31-12-60 12:00,Y6
16975,Y7,Finance,1,6,Yearly,31-12-93 12:00,Y7
18605,Y8,Finance,1,6,Yearly,31-12-60 12:00,Y8
20822,Y9,Finance,1,6,Yearly,31-12-86 12:00,Y9
21774,Y10,Other,1,6,Yearly,01-01-84 12:00,Y10
